id,ans
572.0,0
573.0,1
574.0,1
575.0,0
576.0,0
577.0,0
578.0,0
579.0,0
580.0,1
581.0,1
582.0,0
583.0,1
584.0,0
585.0,0
586.0,0
587.0,0
588.0,0
589.0,1
590.0,1
591.0,0
592.0,1
593.0,1
594.0,0
595.0,1
596.0,0
597.0,0
598.0,0
599.0,1
600.0,0
601.0,0
602.0,0
603.0,0
604.0,0
605.0,1
606.0,0
607.0,1
608.0,1
609.0,0
610.0,1
611.0,0
612.0,0
613.0,0
614.0,1
615.0,0
616.0,0
617.0,0
618.0,0
619.0,0
620.0,0
621.0,1
622.0,0
623.0,0
624.0,1
625.0,0
626.0,0
627.0,0
628.0,0
629.0,0
630.0,1
631.0,1
632.0,0
633.0,0
634.0,1
635.0,1
636.0,0
637.0,0
638.0,0
639.0,1
640.0,0
641.0,0
642.0,1
643.0,0
644.0,1
645.0,0
646.0,0
647.0,1
648.0,1
649.0,0
650.0,1
651.0,1
652.0,0
653.0,0
654.0,0
655.0,0
656.0,1
657.0,0
658.0,0
659.0,1
660.0,0
661.0,0
662.0,0
663.0,1
664.0,0
665.0,0
666.0,1
667.0,0
668.0,0
669.0,0
670.0,0
671.0,0
672.0,1
673.0,1
674.0,0
675.0,0
676.0,0
677.0,1
678.0,1
679.0,0
680.0,1
681.0,1
682.0,1
683.0,0
684.0,0
685.0,0
686.0,1
687.0,0
688.0,0
689.0,0
690.0,1
691.0,0
692.0,0
693.0,1
694.0,1
695.0,0
696.0,0
697.0,1
698.0,0
699.0,1
700.0,0
701.0,0
702.0,1
703.0,1
704.0,1
705.0,1
706.0,1
707.0,0
708.0,0
709.0,1
710.0,1
711.0,1
712.0,1
713.0,0
714.0,0
715.0,0
716.0,1
717.0,0
718.0,0
719.0,0
720.0,0
721.0,0
722.0,0
723.0,0
724.0,1
725.0,0
726.0,0
727.0,0
728.0,0
729.0,0
730.0,1
731.0,1
732.0,0
733.0,0
734.0,1
735.0,0
736.0,0
737.0,0
738.0,0
739.0,0
740.0,0
741.0,0
742.0,0
743.0,0
744.0,0
745.0,0
746.0,0
747.0,0
748.0,0
749.0,0
750.0,0
751.0,0
752.0,1
753.0,1
754.0,0
755.0,0
756.0,1
757.0,0
758.0,0
759.0,0
760.0,0
761.0,1
762.0,1
763.0,1
764.0,1
765.0,1
766.0,0
767.0,1
768.0,1
769.0,1
770.0,0
771.0,0
772.0,0
773.0,0
774.0,1
775.0,1
776.0,0
777.0,1
778.0,0
779.0,1
780.0,1
781.0,1
782.0,0
783.0,0
784.0,1
785.0,1
786.0,1
787.0,0
788.0,0
789.0,0
790.0,1
791.0,1
792.0,1
793.0,1
794.0,1
795.0,1
796.0,1
797.0,0
